trial_number,loss,latent_dim,int1_dim,int2_dim,int3_dim,int4_dim,dropout_rate,kl_beta,alpha_lrelu,momentum,initial_lr,decay_steps,decay_rate
99.0,0.15056592226028442,45.0,252.0,65.0,52.0,0.0,0.2879493371874213,1.0,0.13984215839049138,0.7082427118628609,0.0045534007807755735,146.0,1.0750311020809775
100.0,0.15270593762397766,45.0,228.0,63.0,53.0,0.0,0.2864800184993094,1.0,0.14813529514320742,0.6994431182060888,0.00433075038312351,145.0,1.0732878997249162
101.0,0.15451964735984802,47.0,252.0,62.0,52.0,0.0,0.29610109547805236,1.0,0.10795734487164638,0.7396742048644626,0.006940176278317065,148.0,1.0781683732434282
102.0,0.14776363968849182,49.0,247.0,66.0,60.0,0.0,0.3127950936528108,1.0,0.1341095517687151,0.6865480314066661,0.009739144851424117,156.0,1.0652986542316791
103.0,0.17418698966503143,48.0,235.0,53.0,60.0,0.0,0.30640245711811676,1.0,0.13493754759342194,0.6754419060247524,0.004737450926039598,154.0,1.0880724828217105
104.0,0.16869553923606873,49.0,245.0,65.0,67.0,0.0,0.3148941135936562,1.0,0.12384687231781974,0.7260884184427785,0.006019475820352025,138.0,1.0660674876616871
105.0,0.17002546787261963,46.0,165.0,70.0,43.0,0.0,0.326836080724199,1.0,0.09909318216859452,0.7160592113392584,0.010318251072143443,170.0,1.1059445122520828
106.0,0.1426626741886139,50.0,248.0,67.0,71.0,0.0,0.2796952441805894,1.0,0.13302926331684192,0.69993572835167,0.0037125195727844332,157.0,1.04969806921303
107.0,0.13720805943012238,50.0,248.0,56.0,69.0,0.0,0.2987774816250586,1.0,0.13256503626019023,0.698910408834629,0.00798148082880622,149.0,1.0448635486808708
108.0,0.1690041422843933,50.0,225.0,59.0,73.0,0.0,0.3367816941125605,1.0,0.1279953097996172,0.6754749972153254,0.008018635118652601,150.0,1.0373925046915184
109.0,0.17502041161060333,50.0,232.0,53.0,76.0,0.0,0.2971982792319195,1.0,0.14960296875631715,0.6925881276045935,0.013077338864474201,156.0,1.0444329667396597
110.0,0.1739051342010498,49.0,152.0,76.0,68.0,0.0,0.3135631911592549,1.0,0.11045729070210897,0.744853096469275,0.006778627740954167,141.0,1.0258994422789605
111.0,0.15292371809482574,49.0,237.0,69.0,71.0,0.0,0.28350430487082573,1.0,0.11867025950001313,0.7085863456638294,0.005565502018508566,145.0,1.0494736911744715
112.0,0.1454923301935196,48.0,252.0,74.0,64.0,0.0,0.27701699831990606,1.0,0.08713808808630202,0.7096160627911112,0.009169791037351957,158.0,1.074051598392158
113.0,0.15451067686080933,48.0,248.0,74.0,83.0,0.0,0.2746836884197794,1.0,0.09052321791958845,0.6979258009752847,0.010450891928403126,157.0,1.0432568589495024
114.0,0.15990455448627472,50.0,179.0,68.0,63.0,0.0,0.26999982261856426,1.0,0.07534481120187365,0.717162132865288,0.00879642319806551,162.0,1.0629913762300676
115.0,0.16774223744869232,48.0,217.0,58.0,70.0,0.0,0.29336005596208004,1.0,0.06495756593859937,0.7301479556618435,0.007728513006036233,196.0,1.0154876438746163
